resource_id,resource_name,acronym,official_identity,description,homepage_url,data_access_url,research_areas,keywords,data_product_types,data_formats,visualization_types,geographic_coverage,covers_brazil,spatial_resolution,temporal_coverage,temporal_resolution,data_sources,free_download,access_conditions,programmatic_access,access_protocols,authentication_required,access_documentation_url,license,institutional_status,owner_or_manager,academic_uses,limitations,academic_evidence_type,academic_evidence_url,academic_evidence_note,verification_url,last_verified
DR0001,Plataforma Mineira para Adaptação às Mudanças Climáticas,Clima Gerais,Plataforma e ferramenta de apoio aos municípios mineiros,Indicadores territoriais de vulnerabilidade e adaptação climática em Minas Gerais.,https://clima-gerais.meioambiente.mg.gov.br/,https://clima-gerais.meioambiente.mg.gov.br/vulnerabilidade-territorial,Ciências Ambientais e Ecologia | Clima e Ciências Atmosféricas | Planejamento Territorial e Políticas Públicas,clima | mudanças climáticas | vulnerabilidade,mapas | indicadores | visualizações,visualização web | varia conforme o produto,mapa interativo | dashboard | gráficos,estadual — Minas Gerais,sim,varia conforme o indicador,varia conforme o indicador,varia conforme o indicador,dados governamentais | indicadores compostos,parcial,aberto,desconhecido,não documentado,desconhecido,,não localizada,público,FEAM / SISEMA / Governo de Minas Gerais,"Ensino e planejamento territorial sobre vulnerabilidade climática, adaptação municipal e emissões locais.","Conteúdo institucional real, mas a página exibe rodapé 2014–15; confirmar a data de atualização de cada indicador antes do uso.",documentação oficial,https://clima-gerais.meioambiente.mg.gov.br/,A documentação oficial sustenta o uso em planejamento e ensino; não foi localizada publicação específica robusta sobre a plataforma nesta rodada.,https://clima-gerais.meioambiente.mg.gov.br/,2026-08-10
DR0002,Infraestrutura de Dados Espaciais do Sistema Estadual de Meio Ambiente e Recursos Hídricos,IDE-SISEMA,Infraestrutura de Dados Espaciais do SISEMA,Catálogo e visualizador de camadas ambientais e territoriais de Minas Gerais.,https://geoportal.meioambiente.mg.gov.br/,https://visualizador.idesisema.meioambiente.mg.gov.br/,Ciências Ambientais e Ecologia | Sensoriamento Remoto e Geoinformação | Planejamento Territorial e Políticas Públicas,meio ambiente | recursos hídricos | vegetação | uso da terra,camadas geoespaciais | mapas | metadados,formatos geoespaciais variados; consultar metadados por recurso,mapa interativo | geovisualização,estadual — Minas Gerais,sim,varia conforme a camada,varia conforme a camada,varia conforme a camada,órgãos estaduais | levantamentos | sensoriamento remoto,sim,aberto,sim,WMS | WFS | WCS | CSW,não,https://geoportal.meioambiente.mg.gov.br/webservices,varia conforme a camada,público,SISEMA / Governo de Minas Gerais,"Obter camadas oficiais de Minas Gerais para SIG, planejamento ambiental, licenciamento, ensino e pesquisa territorial.","Escala, atualização, formato e licença devem ser conferidos na camada e no respectivo metadado.",artigo revisado por pares,https://doi.org/10.24857/rgsa.v19n1-067,Aplicação acadêmica da IDE-SISEMA na análise de outorgas e registros de recursos hídricos.,https://geoportal.meioambiente.mg.gov.br/,2026-08-10
DR0003,AdaptaBrasil MCTI,AdaptaBrasil,Sistema de Informações e Análises sobre Impactos das Mudanças do Clima,Sistema de informações sobre riscos de impactos das mudanças climáticas no Brasil.,https://adaptabrasil.mcti.gov.br/,https://sistema.adaptabrasil.mcti.gov.br/,Ciências Ambientais e Ecologia | Clima e Ciências Atmosféricas | Planejamento Territorial e Políticas Públicas,clima | mudanças climáticas | risco | adaptação,indicadores | mapas | séries | relatórios,visualização web | tabelas | varia conforme o produto,mapa interativo | dashboard | gráficos,nacional — Brasil,sim,varia conforme o indicador,presente e cenários futuros; varia conforme o indicador,varia conforme o indicador,modelos climáticos | dados socioambientais | indicadores compostos,parcial,aberto,desconhecido,não documentado,desconhecido,https://adaptabrasil.mcti.gov.br/sobre/termos-de-uso,CC BY-SA; versão não especificada na página oficial consultada,público,MCTI / INPE / RNP,"Analisar risco, ameaça, exposição e vulnerabilidade climática em municípios e apoiar ensino, pesquisa e planejamento de adaptação.",Os indicadores são compostos e voltados ao planejamento de longo prazo; não representam previsão de eventos de curto prazo.,artigo técnico,https://doi.org/10.5753/compbr.2023.50.3910,Artigo descreve o AdaptaBrasil como plataforma de análise de impactos climáticos e apoio à decisão.,https://adaptabrasil.mcti.gov.br/index.php/sobre,2026-08-10
DR0004,Sistema de Registro Nacional de Emissões,SIRENE,Sistema oficial de registro e transparência de emissões e remoções de gases de efeito estufa,Sistema oficial brasileiro de informações sobre emissões e remoções de gases de efeito estufa.,https://www.gov.br/mcti/pt-br/acompanhe-o-mcti/sirene,https://www.gov.br/mcti/pt-br/acompanhe-o-mcti/sirene,Ciências Ambientais e Ecologia | Clima e Ciências Atmosféricas | Planejamento Territorial e Políticas Públicas,carbono | emissões | mudanças climáticas,inventários | tabelas | gráficos | séries temporais,XLSX | CSV | PDF | visualização web; varia conforme o produto,dashboard | gráficos | tabelas,nacional — Brasil,sim,nacional e setores; varia conforme o produto,1990 em diante; varia conforme a edição,anual ou plurianual,inventários nacionais | estatísticas setoriais | modelos,sim,aberto,desconhecido,não documentado,desconhecido,,dados públicos; licença específica não localizada,público,MCTI,"Consultar inventários nacionais e estaduais, séries de emissões e remoções e materiais de apoio à política climática.","Cobertura, ano final e nível de desagregação variam entre inventários, painéis e módulos.",documentação técnica oficial,https://www.gov.br/mcti/pt-br/acompanhe-o-mcti/sirene,"A evidência técnica oficial documenta inventários e séries de emissões; a literatura localizada usa os resultados, mas raramente descreve o sistema.",https://www.gov.br/mcti/pt-br/acompanhe-o-mcti/sirene,2026-08-10
DR0005,Centro Nacional de Monitoramento e Alertas de Desastres Naturais,CEMADEN,Centro nacional de monitoramento e alertas de desastres naturais,"Monitoramento e alertas de riscos hidrológicos, geológicos e de seca no Brasil.",https://www.gov.br/cemaden/pt-br,https://www.gov.br/cemaden/pt-br/assuntos/dados-abertos,Ciências Ambientais e Ecologia | Clima e Ciências Atmosféricas | Recursos Hídricos e Oceanografia | Planejamento Territorial e Políticas Públicas,clima | hidrologia | desastres | seca,alertas | mapas | séries de estações | relatórios,CSV | mapas | PDF | serviços web; varia conforme o produto,mapa interativo | dashboard | gráficos,nacional — Brasil,sim,estações e grades; varia conforme o produto,varia conforme a rede e o produto,subdiária | diária | mensal; varia,estações automáticas | radar | satélite | modelos,parcial,aberto | alguns dados mediante solicitação,parcial,serviços web e downloads; variam por produto,parcial,,não localizada,público,CEMADEN / MCTI,"Usar séries observacionais, mapas, boletins e alertas em estudos de hidrologia, seca, meteorologia e riscos geo-hidrológicos.","Disponibilidade, método e condições de uso variam por produto; dados brutos da rede disponibilizados no Mapa Interativo podem não ter passado por tratamento e podem conter inconsistências.",artigo revisado por pares,https://doi.org/10.1590/0001-3765201720170209,Uso de dados e indicadores do CEMADEN no monitoramento de seca no semiárido brasileiro.,https://www.gov.br/cemaden/pt-br,2026-08-10
DR0006,PANORAMA — Infraestrutura de Dados Espaciais do CENSIPAM,PANORAMA,Infraestrutura de Dados Espaciais do CENSIPAM,"Visualização e monitoramento territorial da Amazônia, incluindo fogo, hidrologia e meteorologia.",https://panorama.sipam.gov.br/,https://panorama.sipam.gov.br/home,Ciências Ambientais e Ecologia | Sensoriamento Remoto e Geoinformação | Planejamento Territorial e Políticas Públicas,fogo | clima | hidrologia | Amazônia,mapas | alertas | indicadores | séries,formatos geoespaciais e tabulares variados,mapa interativo | geovisualização | dashboard,regional — Amazônia,sim,varia conforme o produto,varia conforme o produto,quase em tempo real a periódica,satélite | estações | modelos | dados governamentais,parcial,consulta pública; APIs específicas podem exigir solicitação e chaves,parcial,serviços OGC e downloads; variam por produto,parcial,https://panorama.sipam.gov.br/api/meteorologia/v1,não localizada,público,CENSIPAM / Ministério da Defesa,"Monitorar fogo, meteorologia, hidrologia e dinâmica territorial da Amazônia em ensino, extensão e pesquisa aplicada.",Os painéis combinam fontes e periodicidades distintas; registrar o produto e a data de extração. A API de meteorologia exige solicitação e duas chaves de acesso.,artigo revisado por pares,https://doi.org/10.5380/raega.v60i0.95566,Uso de painéis e dados de ocorrências de fogo associados ao monitoramento federal.,https://panorama.sipam.gov.br/,2026-08-10
DR0007,UrbVerde,UrbVerde,Plataforma de inteligência territorial para sustentabilidade urbana,"Plataforma de indicadores socioambientais urbanos, vegetação e temperatura de superfície.",https://urbverde.iau.usp.br/,https://urbverde.iau.usp.br/,Ciências Ambientais e Ecologia | Sensoriamento Remoto e Geoinformação | Planejamento Territorial e Políticas Públicas,vegetação | urbanização | clima urbano | uso da terra,mapas | indicadores | relatórios municipais,visualização web | PDF | formatos variados,mapa interativo | dashboard | gráficos,municipal e nacional — Brasil,sim,varia conforme o indicador,varia conforme o indicador,varia conforme o indicador,sensoriamento remoto | dados censitários | modelos,parcial,aberto,não,não se aplica,não se aplica,,não localizada,acadêmico,IAU / Universidade de São Paulo,"Comparar vegetação urbana, temperatura de superfície e indicadores socioambientais de municípios brasileiros.","Indicadores derivados de sensoriamento remoto e dados públicos; verificar metodologia, período e cobertura de cada módulo.",documentação oficial,https://urbverde.iau.usp.br/,A documentação oficial sustenta indicadores urbanos; não foi localizada publicação metodológica específica robusta nesta rodada.,https://urbverde.iau.usp.br/,2026-08-10
DR0008,Portal Brasileiro de Dados Abertos,dados.gov.br,Portal Brasileiro de Dados Abertos e Catálogo Nacional de Dados,Catálogo central de conjuntos de dados publicados por órgãos públicos brasileiros.,https://dados.gov.br/,https://dados.gov.br/dados/conjuntos-dados,Infraestruturas e Ciência de Dados | Planejamento Territorial e Políticas Públicas,multitemático | meio ambiente | clima | biodiversidade,metadados | datasets | links para serviços,CSV | JSON | XML | XLSX | formatos variados,busca tabular | pré-visualização de metadados,nacional — Brasil,sim,varia conforme o conjunto,varia conforme o conjunto,varia conforme o conjunto,órgãos públicos brasileiros,sim,dados abertos; catálogo web pode exigir login gov.br,sim,REST API,parcial,https://dados.gov.br/swagger-ui/index.html,varia conforme o conjunto,público,Governo Federal do Brasil,"Descobrir conjuntos de dados governamentais brasileiros e localizar arquivos, serviços e metadados para pesquisa e ensino.","O portal é um catálogo; qualidade, atualização, licença e persistência dependem do órgão publicador.",documentação técnica oficial,https://dados.gov.br/,O portal é usado como infraestrutura de descoberta; formatos e condições dependem de cada órgão publicador.,https://dados.gov.br/,2026-08-10
DR0009,Global Biodiversity Information Facility,GBIF,Rede internacional e infraestrutura de dados de biodiversidade,"Infraestrutura global de acesso a registros de ocorrência, taxonomia e datasets de biodiversidade.",https://www.gbif.org/,https://www.gbif.org/occurrence/search,Biodiversidade e Conservação | Infraestruturas e Ciência de Dados,biodiversidade | espécies | taxonomia,ocorrências | checklists | eventos de amostragem | metadados,Darwin Core Archive | CSV | JSON,mapa interativo | gráficos | busca tabular,global,sim,ponto de ocorrência; varia conforme o dataset,histórica ao presente; varia conforme o dataset,evento a séries; varia,coleções | literatura | ciência cidadã | monitoramento,sim,aberto | cadastro para downloads processados,sim,REST API | Darwin Core Archive | clientes R e Python,parcial,https://techdocs.gbif.org/en/openapi/,varia por dataset; metadados abertos,consórcio,GBIF Secretariat e rede de participantes,"Acessar ocorrências, listas de espécies, eventos de amostragem e metadados para biogeografia, conservação e modelagem de distribuição.","Qualidade, viés amostral, precisão espacial e licença variam por dataset; downloads processados exigem conta.",artigo revisado por pares,https://doi.org/10.17161/bi.v8i2.4124,"Avalia conteúdo, lacunas, qualidade e potencial de uso dos dados primários publicados pela rede GBIF.",https://www.gbif.org/what-is-gbif,2026-08-10
DR0010,MapBiomas Brasil,MapBiomas,Rede colaborativa que produz mapas e dados anuais de cobertura e uso da terra,Mapeamento anual da cobertura e uso da terra e produtos ambientais derivados para o Brasil.,https://brasil.mapbiomas.org/,https://plataforma.brasil.mapbiomas.org/,"Ciências Ambientais e Ecologia | Agricultura, Florestas e Uso da Terra | Sensoriamento Remoto e Geoinformação",uso da terra | vegetação | fogo | água | solo | carbono,mapas raster | estatísticas | alertas | séries anuais,GeoTIFF | CSV | assets Google Earth Engine,mapa interativo | geovisualização | gráficos | dashboard,nacional — Brasil,sim,30 m na Coleção 10.1; varia conforme o produto,1985–2024 na Coleção 10.1; varia conforme o produto,anual | mensal; varia,Landsat | Sentinel | modelos | validação amostral,sim,aberto | atribuição requerida,sim,Google Earth Engine | scripts JavaScript e Python | download HTTP,sim,https://brasil.mapbiomas.org/downloads/,CC BY; atribuição da fonte obrigatória,consórcio,Rede MapBiomas,"Analisar mudanças de uso e cobertura da terra, vegetação, fogo, água, solo e estatísticas territoriais do Brasil.","A Coleção 10.1 cobre 1985–2024; coleção, produto, método e legenda devem ser registrados em cada análise.",artigo revisado por pares,https://doi.org/10.3390/rs12172735,Descrição metodológica e aplicação das coleções MapBiomas para séries anuais de cobertura e uso da terra.,https://brasil.mapbiomas.org/produtos/,2026-08-10
